city_ascii,country,population
Gilbert,United States,242354
Ulanhot,China,241894
Atlantic City,United States,241363
Linchuan,China,241104
Chesapeake,United States,240397
Irving,United States,240373
Hialeah,United States,239673
Garland,United States,238002
Zicheng,China,237042
Luton,United Kingdom,235958
McKinney,United States,235134
Fremont,United States,234962
Visalia,United States,234573
York,United States,234245
Kennewick,United States,232915
Evansville,United States,232285
Shishou,China,231787
Nashua,United States,231262
Hailar,China,231171
Zhangye,China,230728
Beipiao,China,228515
Brownsville,United States,227883
Liaocheng,China,226930
Appleton,United States,222222
Hancheng,China,222135
Gulfport,United States,221348
Lhasa,China,219599
Thousand Oaks,United States,218729
Wuhai,China,218427
Avondale,United States,217192
San Bernardino,United States,216995
Bremerton,United States,216480
Roanoke,United States,216177
Hickory,United States,215353
Kalamazoo,United States,214083
Tacoma,United States,213418
Nanping,China,213054
Fontana,United States,211815
Sanming,China,209444
Green Bay,United States,208625
College Station,United States,207308
Pingliang,China,207256
Moreno Valley,United States,207226
Korla,China,206373
Amarillo,United States,206072
Portland,United States,206023
Jiutai,China,205399
Puqi,China,205164
Fargo,United States,204820
Santa Barbara,United States,204034
Norwich,United States,203916
Lianxian,China,203639
Glendale,United States,203054
Yonkers,United States,202019
Huntington Beach,United States,201874
Aurora,United States,200965
Gainesville,United States,199695
Huangyan,China,198713
Olympia,United States,196078
North Port,United States,195992
Huntington,United States,194155
Deltona,United States,194061
Grand Prairie,United States,193837
Salinas,United States,193590
Oxford,United Kingdom,192796
Dunhua,China,191870
Waterbury,United States,191484
Overland Park,United States,191278
Norwich,United Kingdom,190756
Aberdeen,United Kingdom,189364
Waco,United States,188448
Erie,United States,188079
Cedar Rapids,United States,186160
Hagerstown,United States,185704
Tempe,United States,185038
Spartanburg,United States,183184
Clarksville,United States,182849
Anda,China,181533
Gastonia,United States,180974
Lorain,United States,180239
Sioux Falls,United States,180204
Fort Lauderdale,United States,180072
Zhaodong,China,179980
Newport News,United States,179388
High Point,United States,177874
Santa Cruz,United States,177556
Rancho Cucamonga,United States,177452
Frisco,United States,177286
Danbury,United States,177177
Hemet,United States,176892
Oceanside,United States,176193
Ontario,United States,175841
Vancouver,United States,175673
Bose,China,175282
Garden Grove,United States,174226
Nampa,United States,173863
Vallejo,United States,173844
Lishui,China,172777
Weinan,China,172321
Elk Grove,United States,171844
Pembroke Pines,United States,170712
Fuyang,China,170023
Medford,United States,168219
Peoria,United States,168181
Corona,United States,167836
Murfreesboro,United States,167055
Marysville,United States,166541
Cary,United States,165904
Fredericksburg,United States,164976
Ocala,United States,164712
Simao,China,162725
Manchester,United States,160742
Hayward,United States,160500
Xiaogan,China,160437
Muskegon,United States,160142
Alexandria,United States,160035
Springfield,United States,159394
Lafayette,United States,159293
York,United Kingdom,158947
Port Arthur,United States,157934
Palmdale,United States,157519
Champaign,United States,156794
Dali,China,156685
Gainesville,United States,156248
Yulin,China,155960
Frederick,United States,154972
Lakewood,United States,154958
Beian,China,154936
Guangshui,China,154771
Tuscaloosa,United States,154204
Sunnyvale,United States,153656
Lake Charles,United States,153633
Hollywood,United States,153627
Pasadena,United States,153520
Pomona,United States,152939
Kansas City,United States,152938
Dingzhou,China,152934
Wenshan,China,152388
Deyang,China,152194
Escondido,United States,151969
Dundee,United Kingdom,151592
Binghamton,United States,150747
Warner Robins,United States,149617
New Bedford,United States,149528
Gejiu,China,149105
Topeka,United States,148960
Beaumont,United States,148954
Paterson,United States,148678
Joliet,United States,148462
Jiayuguan,China,148279
Leesburg,United States,148161
Elkhart,United States,148131
Odessa,United States,147810
Naperville,United States,147682
Fairfield,United States,147582
Torrance,United States,146758
Hanzhong,China,145986
Panama City,United States,145239
Bellevue,United States,144444
Jinchang,China,144363
Midland,United States,144247
Merced,United States,144117
Mesquite,United States,143949
Ipswich,United Kingdom,143767
Houma,United States,142969
Charleston,United States,142858
Pasadena,United States,142647
Pueblo,United States,142351
Altay,China,142000
Jieshou,China,141993
